opco,dbTechnology,hostName,variant,tenatnId,dbType,dbVersion,memberStatus,clusterName,port,instanceType,databseRole,isClustered,patchCompliance,env,physMemory,totalCPUs,dbSizeMB,encAtRest,encTechnique,backupMethod,isExternalFacing,sslEnabled,databaseTier,auditCompliance,isDBaaS,dbaasVendor,lastChangeDate
"MARSH","mongo","ausy24v0005","Enterprise","mongo.rs.LIS4_QA.ausy24v0005.28020","traditional","4.2.14","Active","LIS4_QA","28020","mongo.rs","PRIMARY","Yes","No","dev","25092194304","2","949.83984375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy24v0005","Enterprise","mongo.rs.LIS4_QA.ausy24v0005.28019","traditional","4.2.14","Active","LIS4_QA","28019","mongo.rs","PRIMARY","Yes","No","dev","25092194304","2","949.83984375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbe23v0228","Enterprise","mongo.rs.rs_em_prem_dev01.gbbe23v0228.27015","traditional","4.2.14","Active","rs_em_prem_dev01","27015","mongo.rs","SECONDARY","Yes","No","dev","33547907072","4","5721.72265625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbe23v0229","Enterprise","mongo.rs.rs_em_prem_dev01.gbbe23v0229.27015","traditional","4.2.14","Active","rs_em_prem_dev01","27015","mongo.rs","PRIMARY","Yes","No","dev","33547907072","4","5721.72265625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbe23v0230","Enterprise","mongo.rs.rs_em_prem_dev01.gbbe23v0230.27015","traditional","4.2.14","Active","rs_em_prem_dev01","27015","mongo.rs","SECONDARY","Yes","No","dev","33547907072","4","5721.72265625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy21v0050","Enterprise","mongo.rs.LIS_PROD.ausy21v0050.28020","traditional","4.2.14","Active","LIS_PROD","28020","mongo.rs","SECONDARY","Yes","No","prod","16637480960","4","15142.6328125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy21v0049","Enterprise","mongo.rs.LIS_PROD.ausy21v0049.28019","traditional","4.2.14","Active","LIS_PROD","28019","mongo.rs","PRIMARY","Yes","No","prod","16637480960","4","15142.6328125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy21v0090","Enterprise","mongo.rs.LIS_PROD.ausy21v0090.28021","traditional","4.2.14","Active","LIS_PROD","28021","mongo.rs","SECONDARY","Yes","No","prod","16656867328","4","15142.6328125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf23v0355","Enterprise","mongo.rs.Rep_usdf23v0355.usdf23v0355.27017","traditional","4.2.14","Active","Rep_usdf23v0355","27017","mongo.rs","PRIMARY","Yes","No","dev","16637530112","2","1033.65625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf23v0355","Enterprise","mongo.rs.Rep_usdf23v0355.usdf23v0355.27018","traditional","4.2.14","Active","Rep_usdf23v0355","27018","mongo.rs","PRIMARY","Yes","No","dev","16637530112","2","1033.65625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","usdf23v0355","Enterprise","mongo.rs.Rep_usdf23v0355.usdf23v0355.27019","traditional","4.2.14","Active","Rep_usdf23v0355","27019","mongo.rs","PRIMARY","Yes","No","dev","16637530112","2","1033.65625","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
